file,manual_noise_peaks
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\02IT-EDF+_mapped_preprocessed_raw.fif,2.44-12.72; 3.66-7.19; 4.88-4.85; 5.74-1.88; 7.45-6.41; 8.06-2.46; 9.64-2.46; 10.62-1.94; 12.33-1.12; 13.55-0.75; 14.77-0.55; 15.99-0.21; 21.24-0.11
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\05IX-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\06IP-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\06IP-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\08KQ-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\09FN-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\10GK-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\12SG-EDF+1_mapped_preprocessed_raw.fif,6.1-3.0; 6.96-0.93; 8.06-0.66; 9.77-0.77; 10.99-0.67; 11.72-0.26; 12.94-0.22; 14.53-0.25; 15.38-0.14; 16.36-0.13; 17.58-0.09; 19.29-0.1; 20.51-0.06; 21.73-0.05
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\14LO-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\16UK-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\17GO-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\18TH-EDF+3_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\21TT-EDF+1_mapped_preprocessed_raw.fif,3.17-0.28; 4.64-0.29; 6.35-0.12; 7.32-0.02; 9.52-0.06; 10.99-0.02; 12.57-0.02; 14.16-0.01; 15.75-0.01; 17.33-0.01; 18.55-0.01
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\22KS-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\23IA-EDF+_mapped_preprocessed_raw.fif,3.05-20.32; 4.03-11.62; 5.49-5.71; 7.45-2.47
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\25LP-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\27UF-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\28FQ-EDF+_mapped_preprocessed_raw.fif,3.05-0.97; 5.13-1.14; 5.62-0.23; 7.57-0.29; 9.89-0.42; 11.47-0.29; 13.18-0.3; 14.77-0.26; 16.48-0.2; 18.07-0.13
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\29LS-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\30UU-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\31QK-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\32CC-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\33NI-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\34TI-EDF+_mapped_preprocessed_raw.fif,3.17-8.6; 4.64-1.82; 5.25-0.97; 11.84-0.52; 13.79-0.36; 15.01-0.22; 17.21-0.16; 18.43-0.12; 19.41-0.09
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\35CT-EDF+_mapped_preprocessed_raw.fif,3.17-4.48; 4.52-0.52; 6.47-0.55; 8.06-0.52; 9.03-0.13
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\36DI-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\37EN-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\40NI-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\41BK-EDF+1_mapped_preprocessed_raw.fif,
